,,Hourly SiteSage  Data, 2018-02-03 12:24:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in watt hours for hour,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for hour,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 Date/Time,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp
1/2/2016 16:00,6189,-274,0,904,5,39,0,79,698,993,1067,856,560,2,0,44,0,94,115,879,6,121,118,68
1/2/2016 17:00,5404,-108,0,877,5,32,0,126,704,948,996,625,303,1,0,13,0,56,24,867,0,12,118.2,69
1/2/2016 18:00,4950,0,0,1081,6,14,0,37,590,914,953,608,33,0,0,0,0,47,0,889,0,0,118,69
1/2/2016 19:00,5101,0,0,1106,5,15,0,36,525,905,988,571,34,0,0,0,0,47,0,1031,0,0,118.2,69
1/2/2016 20:00,4818,0,0,1033,5,17,0,68,474,910,960,571,36,1,0,0,0,48,0,911,0,0,119.1,70
1/2/2016 21:00,4885,0,0,1110,5,12,0,67,547,905,899,574,36,1,0,0,0,50,0,879,0,0,119,69
1/2/2016 22:00,4768,0,0,945,5,13,0,55,588,918,917,578,35,1,0,0,0,50,0,873,0,0,119.9,70
1/2/2016 23:00,4888,0,0,759,5,14,0,131,508,926,1038,586,33,0,0,0,0,49,0,1067,0,0,120.5,67
1/3/2016 0:00,4907,0,0,1053,4,14,0,31,438,931,1060,571,34,0,0,0,0,50,0,940,0,0,121,65
1/3/2016 1:00,4774,0,0,745,4,15,0,73,607,931,928,638,34,0,0,0,0,49,0,966,0,0,121.2,64
1/3/2016 2:00,5025,0,0,1008,5,15,0,67,563,933,943,735,34,0,0,0,0,49,0,910,0,0,121.3,64
1/3/2016 3:00,4686,0,0,770,4,15,0,43,599,935,953,610,34,0,0,0,0,49,0,891,0,0,121.5,63
1/3/2016 4:00,4768,0,0,880,4,14,0,27,525,936,931,604,34,0,0,0,0,49,0,958,0,0,121.6,63
1/3/2016 5:00,5170,0,0,1003,4,15,0,63,626,933,958,560,34,0,0,0,0,49,0,1134,0,0,121.3,62
1/3/2016 6:00,4411,0,0,681,5,14,0,68,448,922,896,546,34,1,0,0,0,49,0,914,0,0,120.8,63
1/3/2016 7:00,4441,-20,0,761,5,16,0,38,502,903,891,530,41,1,0,0,0,49,0,876,0,0,119.5,63
1/3/2016 8:00,7933,-197,0,2198,652,33,40,131,561,866,1005,571,573,8,32,42,0,89,728,901,2,1,117.2,62
1/3/2016 9:00,6979,-347,0,1930,450,34,0,286,690,851,892,537,572,7,352,39,0,91,111,817,2,35,116.2,61
1/3/2016 10:00,7324,-701,0,2712,5,181,38,245,678,911,957,513,571,9,329,102,0,90,111,878,5,110,115.8,62
1/3/2016 11:00,6732,-658,0,2185,5,32,59,122,644,923,903,590,577,6,339,126,0,89,112,937,6,114,116.7,63
1/3/2016 12:00,7387,-402,0,2232,5,98,152,194,723,924,1123,576,576,12,363,73,0,88,112,803,6,114,116.4,63
1/3/2016 13:00,6585,-380,0,1509,515,31,31,102,574,916,855,586,574,8,363,22,0,122,111,790,5,117,116.2,63
1/3/2016 14:00,7559,-589,0,2444,705,176,40,45,623,878,968,775,569,5,293,37,0,153,18,787,5,19,116.9,62
1/3/2016 15:00,6783,-281,0,2554,5,34,0,101,779,871,889,548,546,7,0,33,0,145,0,841,0,0,117.7,62
1/3/2016 16:00,3756,-176,0,0,5,32,0,66,548,885,933,558,34,2,0,0,0,50,0,845,0,0,118.6,61
1/3/2016 17:00,4655,-119,0,492,5,31,0,59,691,894,915,547,33,1,0,0,0,49,0,1096,0,0,118.7,60
1/3/2016 18:00,4695,0,0,883,5,13,0,34,646,895,913,568,33,0,0,0,0,49,0,867,0,0,118.8,60
1/3/2016 19:00,4472,0,0,588,5,14,0,39,607,905,897,579,33,1,0,0,0,49,0,944,0,0,119.3,59
1/3/2016 20:00,4507,0,0,625,5,13,0,64,539,912,1027,555,33,0,0,0,0,48,0,930,0,0,119.8,59
