,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in kWh for day,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for day,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Date,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp,
8/9/2016,161.493,-5.069,0,54.844,3.205,0.667,0.351,1.544,10.264,20.559,22.785,14.779,4.936,0.1,1.583,0.663,0.003,1.779,1.289,29.448,0.041,0.932,117.65417,78.1,169.772
8/10/2016,156.087,-24.846,0.002,65.205,3.425,0.849,0.293,1.917,10.008,22.051,20.704,15.018,5.489,0.121,2.336,0.845,0,1.902,1.371,29.179,0.042,1.032,116.57917,80.4,181.789
8/11/2016,155.313,-25.669,0,69.106,2.448,0.611,0.326,2.412,10.003,21.583,21.189,13.612,5.19,0.126,1.791,0.765,0,1.903,1.297,27.151,0.038,0.947,116.17083,82.7,180.498
8/12/2016,153.092,-20.583,0,64.111,1.266,0.792,0.625,1.976,10.277,18.729,20.775,15.326,4.888,0.131,2.286,0.349,0,1.792,1.278,27.671,0.039,0.88,116.50435,80.9,173.191
8/13/2016,147.328,-27.08,0.003,61.71,1.777,0.687,0.068,1.729,9.54,21.866,20.017,14.951,5.115,0.116,0.837,0.633,0,1.788,1.222,29.16,0.036,0.96,116.44167,81.8,172.215
8/14/2016,139.779,-19.142,0.004,50.751,1.41,0.576,0.116,1.809,9.263,21.555,19.086,13.544,3.724,0.134,0.661,0,0,1.672,1.01,29.991,0.027,0.747,116.14167,83,156.08
8/15/2016,168.733,-13.036,0,65.005,1.936,0.629,0.441,1.807,10.203,21.786,22.372,15.241,4.839,0.131,2.247,0.472,0.001,1.782,1.236,30.244,0.04,0.952,116.0625,83,181.364
8/16/2016,164.552,-19.379,0,63.135,0.199,0.721,0.14,1.843,10.167,21.845,21.798,15.317,5.229,0.134,1.496,0.837,0,1.871,1.346,29.753,0.042,0.998,116.4125,83.4,176.871
8/17/2016,167.368,-22.973,0,65.708,3.628,0.705,0.335,1.864,10.949,20.12,21.82,14.243,5.248,0.125,2.163,0.75,0.001,1.867,1.246,29.761,0.04,0.977,116.24167,82.8,181.55
8/18/2016,166.332,-23.776,0,66.031,2.117,0.663,0.365,2.353,11.059,22.001,22.409,13.574,5.131,0.134,2.102,0.704,0,1.802,1.14,30.263,0.037,0.93,116.2125,82.7,182.815
8/19/2016,165.534,-24.597,0,65.204,2.866,0.882,0.351,1.7,10.245,21.307,22.339,14.349,6.057,0.129,2.13,0.673,0,1.974,1.253,29.559,0.043,1.118,116.08333,82.9,182.179
8/20/2016,157.815,-22.635,0.002,61.622,1.815,0.691,0.14,1.839,9.646,21.961,21.589,13.943,5.252,0.123,0.432,0,0,1.831,1.356,28.646,0.04,1.279,116.05417,84.4,172.207
8/21/2016,147.974,-24.196,0.001,56.969,1.933,0.592,0.237,2.29,10.006,21.746,20.204,13.59,3.714,0.122,1.198,0,0,1.653,1.005,30.282,0.027,0.774,116.21667,84.7,166.343
8/22/2016,164.608,-25.428,0,67.787,3.208,0.67,0.331,2.058,11.127,21.929,19.932,15.218,5.472,0.129,2.066,0.64,0,1.826,1.134,30.149,0.038,0.948,116.275,85.9,184.662
8/23/2016,166.768,-24.528,0,68.545,2.604,0.621,0.257,1.521,9.815,21.73,22.117,15.382,4.846,0.132,1.659,0.64,0.001,1.883,1.168,30.094,0.038,0.956,115.55833,86.2,184.009
8/24/2016,176.091,-20.891,0,69.15,4.405,0.808,0.144,1.719,10.287,21.668,22.417,13.315,5.961,0.101,2.454,0.906,0.002,1.96,1.292,29.983,0.044,0.982,116.24583,84.4,187.598
8/25/2016,170.652,-23.991,0,69.34,3.537,0.768,0.254,2.378,10.277,20.173,20.808,13.093,5.24,0.122,2.453,0.368,0.001,1.858,1.382,30.184,0.044,1.104,116.24167,84.8,183.384
8/26/2016,171.142,-16.694,0.006,63.842,2.131,0.919,0.246,1.416,11.034,19.884,21.46,14.73,6.374,0.14,1.757,0.732,0.004,2.017,1.262,30.022,0.044,0.962,116.3625,82.3,178.982
8/27/2016,155.154,-18.653,0,57.693,1.684,0.635,0.117,1.553,9.517,20.572,22.924,14.383,5.539,0.096,0.774,0.326,0,1.668,1.388,29.417,0.04,1.248,117.17083,80.4,169.574
8/28/2016,141.678,-21.037,0.005,52.447,1.197,0.711,0.077,1.714,9.415,20.012,20.09,14.056,3.493,0.111,0.929,0,0,1.569,0.916,29.777,0.026,0.962,116.70417,84.1,157.507
8/29/2016,161.568,-20.323,0.003,65.378,1.204,0.808,0.376,1.699,10.041,21.38,21.021,15.287,5.548,0.124,1.975,0.746,0,1.895,1.196,30.086,0.04,0.957,117,82,179.764
8/30/2016,158.238,-19.606,0.004,62.946,1.916,0.697,0.252,1.894,10.809,22.01,20.76,14.079,5.176,0.127,1.968,0.686,0.001,1.765,1.256,30.484,0.036,0.922,117.2875,79.6,177.788
8/31/2016,166.073,-1.558,0,55.41,5.691,0.658,0.315,2.271,10.962,22.221,22.182,14.143,4.051,0.118,2.034,0.529,0.006,1.881,1.101,30.68,0.031,0.887,118.36667,76.7,175.171
9/1/2016,129.265,-4.086,0,40.035,1.969,0.629,0.106,1.57,9.535,17.454,19.578,13.149,3.026,0.104,0,0,0,1.52,0,29.75,0,0.138,118.25556,79.6,138.563
9/2/2016,,,,,,,,,,,,,,,,,,,,,,,,80.5,0
9/3/2016,,,,,,,,,,,,,,,,,,,,,,,,80.6,0
9/4/2016,,,,,,,,,,,,,,,,,,,,,,,,81.3,0
9/5/2016,,,,,,,,,,,,,,,,,,,,,,,,80.2,0
9/6/2016,,,,,,,,,,,,,,,,,,,,,,,,81.7,0
9/7/2016,,,,,,,,,,,,,,,,,,,,,,,,81.4,0
9/8/2016,,,,,,,,,,,,,,,,,,,,,,,,81.7,0
9/9/2016,,,,,,,,,,,,,,,,,,,,,,,,82.8,0
9/10/2016,,,,,,,,,,,,,,,,,,,,,,,,83.8,0
9/11/2016,,,,,,,,,,,,,,,,,,,,,,,,83.6,0
9/12/2016,,,,,,,,,,,,,,,,,,,,,,,,81.1,0
9/13/2016,,,,,,,,,,,,,,,,,,,,,,,,81.2,0
9/14/2016,158.558,-22.671,0.001,63.989,0.942,0.776,0.295,1.816,9.662,21.801,21.477,14.09,4.589,0.12,2.192,0.688,0,1.823,1.198,31.513,0.042,0.916,116.69583,81.9,177.93
9/15/2016,164.882,-22.261,0,64.42,6.264,0.765,0.368,2.236,10.865,21.769,20.982,13.487,4.809,0.116,2.228,0.688,0.003,1.784,1.17,30.17,0.041,0.93,116.55833,82,183.095
9/16/2016,170.269,-21.515,0,65.543,4.412,0.876,0.32,1.829,10.393,21.782,20.745,14.437,6.581,0.139,2.459,0.825,0.003,1.987,1.242,27.393,0.047,0.945,116.375,83.5,181.958
9/17/2016,155.683,-22.114,0,58.932,1.384,0.576,0.262,2.187,9.336,22.092,21.217,16.016,4.725,0.134,0.98,0.305,0,1.764,1.255,25.194,0.037,1.101,116.75417,82.7,167.497
9/18/2016,134.892,-19.93,0.001,49.599,1.402,0.589,0.142,2.196,9.598,19.447,20.018,13.781,3.195,0.112,0.948,0,0,1.698,0,26.185,0.023,0.582,116.74583,82.7,149.516
9/19/2016,149.992,-20.566,0.001,58.778,1.485,0.671,0.234,2.425,10.842,21.908,20.838,15.065,4.418,0.121,1.949,0.688,0,1.728,1.16,23.576,0.037,0.894,116.55,83.2,166.818
9/20/2016,151.516,-21.944,0,61.29,3.499,0.648,0.363,2.087,10.936,21.856,21.479,14.508,4.699,0.125,2.229,0.607,0.001,1.692,1.022,24.424,0.037,0.985,116.54167,83.3,172.487
9/21/2016,140.439,-20.96,0,63.556,0.373,0.761,0.191,1.597,9.354,20.041,20.427,14.018,6.703,0.117,1.305,0.397,0,1.965,1.205,25.88,0.037,1.021,116.7625,83.5,168.948
9/22/2016,150.713,-22.412,0,64.036,3.929,0.624,0.335,2.32,9.932,21.423,20.337,13.588,4.787,0.114,1.601,0.383,0.001,1.811,1.223,27.044,0.03,1.037,116.75,81.9,174.555
9/23/2016,162.51,-20.919,0,66.546,3.14,0.741,0.177,1.686,9.409,21.945,20.334,14.951,5.531,0.1,1.673,0,0,1.838,1.215,27.045,0.035,1.007,116.775,83.7,177.373
9/24/2016,153.084,-20.832,0,58.284,1.24,0.603,0.111,1.362,9.565,21.916,20.217,14.871,5.044,0.089,0,0,0,1.735,1.239,26.823,0.034,0.963,116.64583,84.1,164.096
9/25/2016,134.386,-22.065,0,50.76,2.408,0.763,0,1.636,9.034,19.76,19.719,13.108,3.084,0.087,0.965,0.001,0.001,1.694,0.862,26.706,0.023,0.595,117.025,82,151.206
9/26/2016,153.219,-19.949,0,60.995,0.184,0.763,0.294,2.123,10.244,21.908,20.895,15.467,5.267,0.061,1.75,0.28,0,1.649,1.183,27.221,0.036,1.209,117.25,79.7,171.529
9/27/2016,155.427,-21.888,0,63.648,4.547,0.869,0.257,2.44,9.849,20.587,20.238,14.146,4.757,0.064,2.518,0.331,0.001,1.658,1.087,26.693,0.034,1.301,117.1375,81.7,175.025
9/28/2016,160.68,-17.042,0,65.065,1.557,0.822,0.226,1.811,10.227,22.008,20.912,14.05,6.964,0.08,1.649,0.256,0,2.046,1.287,26.754,0.037,0.906,117.40417,81.9,176.657
9/29/2016,169.913,-17.689,0,65.61,5.371,0.724,0.227,2.816,10.923,21.925,20.805,13.127,5.901,0.109,2.257,0.45,0.003,2.047,1.237,27.193,0.036,0.98,117.10417,80.6,181.741
9/30/2016,173.889,-19.758,0,70.211,1.902,0.684,0.552,2.694,11.843,20.63,20.973,15.86,6.518,0.113,2.607,0.669,0,1.923,1.422,26.679,0.038,1.063,116.90417,81.9,186.381
10/1/2016,158.602,-18.274,0,58.296,1.644,0.881,0.217,1.923,9.797,20.931,20.04,15.792,5.151,0.113,1.054,0.647,0.001,1.861,1.215,27.392,0.063,0.974,117.15833,81,167.992
10/2/2016,133.952,-20.339,0.002,46.193,2.209,0.564,0.082,1.387,9.523,21.77,19.985,13.719,3.133,0.102,0.572,0.461,0.001,1.617,0.907,27.863,0.06,0.996,117.17917,79.5,151.146
10/3/2016,165.333,-9.983,0,59.473,5.518,0.71,0.471,2.789,10.695,22.151,21.482,15.589,4.933,0.117,1.829,0.46,0.003,1.839,1.208,27.617,0.038,1.308,117.59583,77.3,178.23
10/4/2016,154.666,-20.053,0,62.25,2.348,0.656,0.216,2.116,9.932,21.349,21.176,15.679,5.384,0.089,1.62,0,0,1.874,1.155,27.635,0.039,0.938,117.40833,79.9,174.456
10/5/2016,164.424,-16.611,0,64.435,5.078,0.913,0.304,2.118,10.519,21.905,20.579,14.293,5.814,0.099,2.752,0.719,0.003,2.002,1.309,27.811,0.044,0.955,117.25833,80.2,181.652
10/6/2016,174.683,-14.983,0,66.331,4.938,1.107,0.376,2.513,11.221,20.482,21.064,13.741,7.202,0.126,2.482,0.812,0.004,2.683,1.321,27.424,0.039,0.884,116.97917,80.3,184.75
10/7/2016,151.64,-10.996,0,50.362,0.976,0.686,0.074,1.807,9.82,22.153,20.288,13.829,5.166,0.095,0.776,0,0,2.135,1.236,27.61,0.064,0.992,117.20417,79.8,158.069
10/8/2016,156.836,-17.906,0,58.726,0.804,0.627,0.162,2.084,9.544,21.212,21.152,13.848,6.679,0.103,1.609,0.419,0.001,2.012,1.301,27.06,0.073,0.978,116.975,81.6,168.394
10/9/2016,131.371,-20.537,0.001,46.279,0.069,0.581,0.117,1.758,9.348,20.716,19.742,13.204,4.08,0.082,0.778,0.258,0,1.83,1.021,27.354,0.029,0.705,117.38333,80.8,147.952
10/10/2016,152.778,-20.564,0,54.347,5.803,0.642,0.627,2.797,11.256,22.365,21.664,14.74,4.755,0.083,2.489,0.65,0.001,1.71,1.172,28.099,0.038,0.939,118.12917,76.7,174.177
10/11/2016,149.656,-12.632,0,49.782,1.392,0.769,0.255,1.975,11.641,20.756,22.832,15.756,4.948,0.074,2.444,0.659,0,1.568,1.294,27.34,0.037,1.256,118.42917,74.9,164.778
10/12/2016,148.492,-18.934,0,53.732,5.06,0.71,0.267,2.065,10.833,22.411,21.715,13.626,4.761,0.074,2.226,0,0,1.706,1.187,26.711,0.035,1.354,118.12083,76.3,168.473
10/13/2016,164.719,-18.877,0,60.652,7.066,0.567,0.424,3.012,11.879,21.971,21.293,13.348,5.112,0.107,2.438,1.007,0.004,1.793,1.218,27.205,0.035,0.951,117.49583,77.6,180.082
10/14/2016,167.981,-19.302,0,62.793,4.906,0.696,0.252,2.158,11.485,18.952,21.095,14.366,6.616,0.09,2.757,1.451,0.003,1.965,1.395,27.09,0.038,1.106,117.425,78.3,179.214
10/15/2016,179.201,-14.824,0,65.509,5.397,0.568,0.231,2.263,10.783,21.746,21.105,14.213,6.04,0.076,2.966,0.729,0.008,1.932,1.482,26.289,0.044,1.18,117.62083,76.8,182.561
10/16/2016,126.995,-18.536,0,41.008,0.72,0.595,0.152,1.553,9.887,21.371,20.057,13.064,3.429,0.079,0,0,0,1.826,0.897,26.274,0.022,0.591,117.3,79.3,141.525
10/17/2016,163.279,-14.067,0,61.265,4.094,0.678,0.439,2.175,10.596,21.519,21.541,14.829,4.853,0.103,2.001,0.735,0.002,1.766,1.247,27.539,0.031,1.002,117.24583,78.3,176.415
10/18/2016,155.155,-19.542,0,58.379,4.32,0.635,0.215,2.108,10.029,20.736,20.357,15.281,5.09,0.087,1.969,0.669,0.002,1.832,1.338,28.93,0.044,1.045,117.60833,78.1,173.066
10/19/2016,150.849,-18.495,0,52.854,0.95,0.633,0.144,1.603,9.85,20.868,21.719,14.552,4.797,0.07,1.736,0.381,0,1.726,1.224,28.261,0.037,0.932,117.75417,77.9,162.337
10/20/2016,158.447,-19.743,0,58.524,4.426,0.752,0.598,2.384,10.832,21.194,20.503,14.871,4.619,0.071,2.361,0.669,0.003,1.691,1.223,27.953,0.034,0.932,117.55,76.6,173.64
10/21/2016,156.433,-18.018,0,59.78,1.86,0.784,0.197,2.115,9.785,18.921,21.452,14.683,6.471,0.076,2.157,0,0,2.117,1.273,27.769,0.038,1.064,118.00417,76.8,170.542
10/22/2016,131.068,-20.378,0,37.299,0.052,0.756,0.199,2.176,10.103,20.903,21.603,14.356,5.3,0.042,1.346,0.013,0,2.095,1.439,28.187,0.036,1.291,118.875,70,147.196
10/23/2016,124.857,-20.046,0,36.398,0.771,0.584,0.255,2.64,10.752,22.454,20.464,14.472,3.715,0.047,1.619,0.448,0,1.734,1.052,28.362,0.063,1.079,118.95833,70.9,146.909
10/24/2016,147.708,-18.714,0,47.658,6.63,0.701,0.497,2.909,11.888,22.5,20.408,16.032,4.658,0.056,2.557,0.853,0.001,1.649,1.235,29.141,0.082,0.962,118.54167,70.9,170.417
10/25/2016,153.396,-17.521,0,49.05,1.652,0.922,0.409,1.956,11.619,22.607,22.089,17.415,5.023,0.059,2.131,1.135,0.002,2.03,1.302,28.094,0.037,0.925,118.5375,73.1,168.457
10/26/2016,148.816,-16.954,0,50.569,2.148,1.022,0.269,2.333,12.31,20.703,20.975,14.404,5.427,0.062,2.446,0.021,0,2.056,1.311,27.093,0.032,0.999,118.40417,75.4,164.18
10/27/2016,157.478,-15.233,0,53.714,4.528,0.721,0.535,2.856,11.435,22.407,20.898,13.629,4.608,0.077,2.874,0.349,0.005,1.625,1.292,27.259,0.042,0.881,118.275,75.2,169.735
10/28/2016,151.604,-15.471,0,51.027,2.113,0.741,0.225,1.831,10.853,22.326,21.146,14.287,5.409,0.065,3.131,0.809,0.002,1.786,1.266,26.712,0.038,0.989,118.06667,75.4,164.756
10/29/2016,143.572,-15.599,0,46.49,0.045,0.625,0.184,1.887,11.222,21.596,20.707,14.474,4.847,0.069,2.163,0.656,0,1.711,1.279,27.282,0.041,0.982,118.15417,75.8,156.26
10/30/2016,131.959,-16.129,0,42.974,0.892,0.579,0.08,1.705,11.11,20.376,20.045,13.107,5.504,0.066,0.935,0,0,2.164,0.956,27.227,0.024,0.556,118.26667,76.3,148.3
10/31/2016,161.87,-18.256,0,60.591,1.527,0.87,0.55,3.059,11.736,21.549,21.739,14.831,6.081,0.09,2.338,0.86,0.003,2.229,1.65,27.24,0.05,1.282,118.25833,75.3,178.275
11/1/2016,150.775,-16.976,0,53.422,3.664,0.859,0.34,2.398,11.213,22.24,21.328,16.245,5.139,0.085,1.813,0.231,0,1.663,1.36,27.017,0.038,0.989,118.10833,76.3,170.044
11/2/2016,148.493,-12.874,0,47.558,3.323,0.747,0.153,1.678,11.07,22.539,20.337,13.667,5.429,0.067,1.475,0.26,0.002,1.805,1.228,27.284,0.035,1.149,118.44167,75.2,159.806
11/3/2016,160.809,-17.177,0,55.975,4.372,0.834,0.545,2.546,11.986,22.291,21.121,15.319,4.925,0.079,2.529,0.841,0.003,1.677,1.315,26.816,0.037,1.278,117.975,74.9,174.489
11/4/2016,155.102,-16.619,0,57.159,0.092,0.709,0.464,2.252,11.631,19.326,20.951,15.353,6.198,0.085,2.315,1.22,0,2.07,1.223,26.954,0.038,1.006,118.2375,74.4,169.046
11/5/2016,139.37,-17.344,0,46.259,0.048,0.794,0.159,1.678,10.823,20.985,20.738,13.84,5.183,0.05,1.546,0,0,2.026,1.184,26.644,0.034,1.022,118.3,74.7,153.013
11/6/2016,127.938,-15.704,0,39.392,0.289,0.702,0.079,1.748,11.379,22.259,20.594,13.471,3.596,0.044,1.741,0.176,0,1.801,0.971,26.904,0.025,0.568,118.225,72.5,145.739
11/7/2016,144.883,-12.365,0,46.929,3.075,0.957,0.193,1.521,11.705,22.271,21.163,14.214,5.479,0.049,2.799,0.419,0.001,1.81,1.308,26.767,0.038,0.979,118.15417,73.1,161.677
11/8/2016,154.576,-15.867,0,54.951,4.683,0.794,0.463,2.812,12.506,22.387,21.296,15.234,5.113,0.074,3.128,0.514,0.002,1.742,1.222,27.309,0.042,0.946,118.5,73.1,175.218
11/9/2016,144.758,-12.621,0,47.652,1.744,0.758,0.351,1.904,10.842,20.567,22.021,17.146,4.93,0.065,2.328,0.558,0.001,1.795,1.173,26.99,0.037,0.941,118.62083,72,161.803
11/10/2016,141.65,-16.159,0,43.064,2.079,0.682,0.238,2.172,10.87,21.592,20.639,15.036,5.469,0.068,2.095,1.132,0.001,1.806,1.324,26.842,0.039,1.144,118.42083,71.8,156.292
11/11/2016,154.563,-16.073,0,50.455,5.982,0.627,0.371,1.983,11.158,21.885,21.814,14.903,5.833,0.061,3.236,0.451,0.004,2.091,1.33,27.053,0.044,0.957,118.52917,69.4,170.238
11/12/2016,138.062,-16.744,0,42.363,1.518,0.694,0.116,1.602,10.278,22.331,20.919,13.923,5.532,0.047,2.636,0.378,0.001,2.082,1.304,26.772,0.042,1.054,118.45,71.1,153.592
11/13/2016,130.781,-15.544,0,41.105,0.679,0.678,0.115,2.131,11.233,21.166,20.745,13.277,4.671,0.047,1.512,1.189,0,2.141,1.242,27.421,0.026,0.882,118.4,70.5,150.26
11/14/2016,154.55,-5.482,0,44.623,4.775,0.729,0.29,1.517,11.724,22.627,22.55,15.798,5.219,0.046,2.757,1.422,0.004,2.011,1.319,28.404,0.044,1.037,119.075,70.1,166.896
11/15/2016,146.602,-11.144,0,44.18,0.886,0.845,0.459,2.273,11.384,20.522,23.953,16.567,5.422,0.059,2.735,0.612,0,2.343,1.279,28.791,0.042,0.983,118.9875,68,163.335
11/16/2016,141.932,-15.567,0,40.536,3.724,0.693,0.305,1.829,10.714,21.012,23.433,13.614,5.322,0.052,2.12,0.73,0.001,2.122,1.326,28.546,0.04,1.044,118.775,69.8,157.163
11/17/2016,147.816,-15.944,0,45.297,0.24,0.702,0.412,2.984,11.338,22.416,22.754,14.499,5.191,0.061,2.841,0.842,0.001,1.652,1.335,28.443,0.039,0.953,118.57917,68.7,162
11/18/2016,152.296,-14.598,0,47.616,0.325,0.752,0.234,2.05,11.19,21.674,21.445,15.419,6.507,0.04,2.204,0.454,0.001,2.053,1.496,28.164,0.05,1.308,118.74167,69.7,162.982
11/19/2016,144.896,-14.749,0,44.224,1.184,0.919,0.389,2.437,11.784,22.694,20.463,15.286,5.863,0.047,2.082,0.001,0,2.008,1.275,28.82,0.042,0.971,118.45833,70.4,160.489
11/20/2016,125.016,-16.792,0,30.348,0.781,0.821,0.211,2.669,12.008,20.617,21.484,14.113,7.022,0.046,1.976,0.824,0,2.417,1.379,27.694,0.036,0.797,118.62083,61.6,145.243
11/21/2016,145.28,-16.278,0,45.27,5.388,0.885,0.782,3.331,11.66,19.633,21.904,16.192,5.725,0.078,3.308,0.9,0.003,1.789,1.351,26.555,0.041,0.947,118.06667,60.8,165.742
11/22/2016,147.877,-15.91,0,47.127,3.362,1.16,0.686,2.61,12.004,19.642,21.554,15.645,6.9,0.059,4,0.615,0.002,2.138,1.356,26.663,0.053,0.908,117.95,63.6,166.484
11/23/2016,145.427,-14.591,0,44.734,0.988,0.637,0.341,2.389,12.017,20.96,20.471,14.895,5.884,0.041,2.888,0.568,0.002,1.771,1.41,29.478,0.053,0.919,118.22083,66.5,160.446
11/24/2016,109.611,-13.569,0,25.518,0.017,0.535,0,1.243,10.163,21.684,19.614,13.303,0.809,0.018,0,0,0,1.177,0,28.205,0.002,0,118.41667,69.1,122.288
11/25/2016,120.749,-14.484,0,31.225,0.02,0.548,0,1.412,10.743,20.04,19.882,13.282,3.048,0.028,0.536,0.138,0,1.733,0,27.619,0.003,0,118.14583,70.4,130.257
11/26/2016,145.215,-12.648,0,42.414,0.026,0.657,0.336,2.132,11.546,22.75,20.412,15.668,6.266,0.039,1.918,0.389,0.002,1.694,1.412,28.379,0.038,1.04,118.925,69.5,157.118
11/27/2016,132.239,-14.367,0,38.263,2.305,0.784,0.318,2.528,11.684,22.386,20.497,14.603,3.701,0.046,2.084,0.285,0.001,1.95,1.023,28.037,0.029,0.616,118.68333,67.6,151.14
11/28/2016,141.747,-13.88,0,45.289,0.039,0.708,0.225,2.445,11.134,22.625,21.109,15.817,5.619,0.055,2.797,0.705,0,1.791,1.355,28.132,0.046,1.005,118.84583,70,160.896
11/29/2016,159.856,-13.419,0,54.357,5.139,0.714,0.47,2.557,11.519,22.658,21.211,16.872,4.998,0.064,2.104,0.013,0.003,1.706,1.225,28.059,0.035,0.857,118.89583,72.6,174.561
11/30/2016,152.802,-11.856,0,52.78,1.185,0.848,0.763,2.726,11.995,21.018,21.158,14.098,5.959,0.074,1.864,0.358,0.001,1.834,1.357,27.675,0.039,0.87,118.2875,72.8,166.602
12/1/2016,160.218,-10.987,0,52.111,3.791,0.178,0.419,3.338,12.175,22.469,22.111,14.254,5.945,0.087,2.237,0.711,0.004,1.648,1.247,28.433,0.032,0.957,118.575,71.9,172.147
12/2/2016,130.835,-14.165,0,33.358,0.161,0,0.08,2.01,11.296,21.148,21.058,14.431,6.851,0.058,0.426,0.634,0,1.99,1.263,27.708,0.035,0.506,118.90833,67.6,143.013
12/3/2016,133.328,-14.081,0,33.905,2.134,0,0,1.916,11.339,21.334,20.264,13.655,5.472,0.039,0.284,0.38,0,1.852,1.337,27.713,0.037,0.96,118.65833,67.8,142.621
12/4/2016,137.709,-13.888,0,44.583,1.266,0.001,0.314,2.528,11.585,22.479,19.79,13.668,4.805,0.059,1.83,0,0,2.147,1.218,27.648,0.032,0.794,118.6125,71.8,154.747
12/5/2016,151.005,-9.503,0,50.268,1.759,0.001,0.358,2.62,12.538,22.686,20.612,13.675,4.554,0.083,2.53,0.646,0.001,1.635,1.256,28.332,0.039,0.913,118.60417,72.8,164.506
12/6/2016,161.687,-6.202,0,50.784,1.607,0.129,0.355,2.309,11.54,22.446,20.763,16.154,7.274,0.071,1.968,0.951,0.002,1.941,1.336,28.609,0.042,0.863,118.62917,73.6,169.144
12/7/2016,149.669,-13.786,0,48.107,3.013,0.231,0.401,2.639,10.794,22.549,21.277,14.337,5.422,0.075,2.54,0.376,0.003,1.749,1.309,28.395,0.042,0.919,118.8875,70,164.178
12/8/2016,150.106,-8.61,0,41.11,4.238,0.369,0.478,3.005,11.538,19.249,21.008,14.255,8.589,0.073,2.585,0.014,0.001,2.088,1.408,27.988,0.04,0.985,118.77917,65.5,159.021
12/9/2016,147.69,-9.035,0,33.235,3.978,0.014,0.292,2.631,11.19,21.868,21.532,14.81,8.908,0.063,3.684,1.173,0.003,2.38,1.766,26.609,0.051,1.282,118.26667,59.6,155.469
12/10/2016,130.868,-14.158,0,30.659,1.974,0.136,0.127,2.603,10.258,22.951,20.877,13.703,5.846,0.041,1.394,0.376,0.001,2.066,1.58,28.207,0.046,1.018,118.91667,61.6,143.863
12/11/2016,125.355,-9.999,0,28.253,0.014,0.008,0.064,1.802,10.509,22.548,22.423,13.81,3.878,0.034,0.367,0.271,0,2.216,1.083,28.796,0.028,0.588,118.925,68,136.692
12/12/2016,149.029,-12.601,0,47.401,3.124,0.176,0.272,2.092,12.079,22.613,22.72,13.207,4.92,0.066,2.555,0.704,0.001,1.976,1.255,28.477,0.039,0.846,118.95833,69.8,164.523
12/13/2016,159.546,-12.881,0,48.455,2.604,0.265,0.535,2.681,11.489,22.509,22.969,16.912,5.988,0.061,2.322,0.754,0.003,1.979,1.34,28.197,0.04,0.899,118.89167,68.5,170.002
12/14/2016,149.87,-11.717,0,42.654,4,0.146,0.283,2.721,10.799,22.589,22.442,13.662,4.849,0.051,2.511,1.097,0.002,1.657,1.26,28.576,0.04,0.895,118.76667,67.5,160.234
12/15/2016,156.194,-14.238,0,51.322,2.372,0.126,0.729,3.407,11.095,22.535,22.469,15.475,5.163,0.076,3.264,0.212,0.003,1.66,1.292,28.008,0.041,0.945,118.67083,68.6,170.194
12/16/2016,148.24,-6.853,0.001,42.854,0.531,0.12,0.289,2.807,11.383,18.393,23.27,15.617,6.296,0.05,2.491,0.343,0.002,2.115,1.327,27.434,0.042,0.732,118.89545,67.1,156.097
12/17/2016,145.636,-13.195,0,42.811,1.26,0,0.085,2.082,9.826,21.379,21.004,13.742,5.576,0.053,0.847,0.685,0.001,1.656,1.341,28.464,0.044,0.751,118.98333,72,151.607
12/18/2016,140.749,-12.956,0,45.688,0.036,0,0.111,1.936,10.145,21.385,20.916,14.439,5.917,0.056,2.188,0.183,0,2.363,0.933,28.147,0.031,0.452,118.67083,74.5,154.926
12/19/2016,165.836,-11.513,0,61.037,3.008,0.074,0.613,3.417,10.995,22.841,21.074,15.546,6.205,0.094,2.466,0.651,0.002,1.917,1.397,28.37,0.046,0.898,118.44167,75,180.651
12/20/2016,172.946,-7.541,0,56.489,2.994,0.158,0.476,2.997,12.048,22.574,23.344,17.453,6.497,0.071,3.418,0.92,0.006,1.964,1.465,28.117,0.047,0.886,118.22083,71.8,181.924
12/21/2016,170.619,-6.362,0,52.547,4.552,0.289,0.625,3.423,12.443,22.883,22.089,15.974,7.321,0.094,3.827,0.925,0.008,1.835,1.32,28.28,0.049,0.961,118.42083,66.7,179.445
