,,Hourly SiteSage  Data, 2016-10-28 20:37:00,Customer: ,Historic Green Village @AMI

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH2-Bldg F1","CH3-Solar Input (F1)","CH4-No CT","CH5-WSHP","CH6-Range","CH7-Range","CH8-Microwave","CH9-Dishwasher","CH10-Mixer","CH11-Fridge in Back","CH12-Front Display Case","CH13-Back Middle Freezer","CH14-Back Freezer near Wall","CH15-Lighting{1}","CH16-Gas Water Heater","CH17-Gas Convection Oven","CH18-Receptacle 1","CH19-Receptacle 2","CH20-Receptacle 3","CH21-Front Small Fridge","CH22-Bath/Mechanical Room","CH23-Outdoor Receptacle","CH24-Lighting Outdoor",Outdoor Temp
2013-01-02 18:00:00,3342,1586,0,0,616,5,0,13,0,0,356,527,1351,520,133,97,0,0,0,58,1319,23,2,28,68
2013-01-02 19:00:00,3235,1550,0,0,967,6,0,13,0,0,269,465,1134,490,34,98,0,0,0,48,1328,16,2,0,67
2013-01-02 20:00:00,2986,1537,0,0,1038,6,0,14,0,0,310,381,829,507,34,96,0,0,0,48,1308,17,2,0,66
2013-01-02 21:00:00,2736,1387,0,0,706,6,0,13,0,0,232,378,923,508,35,99,0,0,0,49,1201,18,1,0,65
2013-01-02 22:00:00,1955,1275,0,0,515,5,0,14,0,0,293,380,805,499,36,98,0,0,0,49,476,19,0,0,64
2013-01-02 23:00:00,1722,1123,0,0,23,2,0,14,0,0,212,495,942,495,36,101,0,0,0,48,435,21,0,0,63
2013-01-03 00:00:00,1802,1323,0,0,387,1,0,14,0,0,330,525,878,500,36,102,0,0,0,49,276,21,0,0,63
2013-01-03 01:00:00,1863,1393,0,0,638,1,0,14,0,0,217,451,920,496,36,102,0,0,0,50,298,21,0,0,62
2013-01-03 02:00:00,1817,1239,0,0,312,0,0,14,0,0,326,401,952,545,36,104,0,0,0,49,285,21,0,0,61
2013-01-03 03:00:00,1723,1303,0,0,353,0,0,14,0,0,220,406,873,615,36,104,0,0,0,49,343,21,0,0,62
2013-01-03 04:00:00,1920,1358,0,0,325,0,0,14,0,0,309,393,969,662,36,104,0,0,0,49,368,21,0,0,64
2013-01-03 05:00:00,1697,1340,0,0,322,1,0,14,0,0,247,507,868,569,36,103,0,0,0,49,301,21,0,0,64
2013-01-03 06:00:00,1781,1315,0,0,330,2,0,14,0,0,339,524,882,514,36,102,0,0,0,49,291,20,0,0,63
2013-01-03 07:00:00,2030,1344,0,0,612,5,0,13,0,0,254,416,1096,492,35,101,0,0,0,50,276,18,0,0,64
2013-01-03 08:00:00,1732,1169,0,0,357,5,0,13,0,0,291,382,873,509,33,98,0,0,0,49,276,18,0,0,64
2013-01-03 09:00:00,2210,1826,0,0,909,5,0,50,0,0,294,348,995,506,383,94,0,0,0,69,279,53,41,108,66
2013-01-03 10:00:00,3530,3194,1,0,1070,749,738,268,0,28,364,608,1043,508,578,79,0,0,0,75,277,86,220,580,69
2013-01-03 11:00:00,3115,2857,0,0,1146,461,452,131,0,21,351,489,908,469,576,81,0,0,0,92,311,87,218,615,76
2013-01-03 12:00:00,3213,3023,0,0,1582,48,43,21,40,15,382,679,984,494,576,89,0,0,0,97,393,87,219,616,78
2013-01-03 13:00:00,3727,3285,1,0,1577,632,622,107,0,47,330,422,913,502,579,84,293,0,0,112,331,90,219,568,75
2013-01-03 14:00:00,3661,3338,0,0,1662,616,603,18,0,37,342,462,1180,495,578,85,46,0,0,108,298,99,220,529,74
2013-01-03 15:00:00,2880,2681,0,0,1033,225,216,27,72,21,324,590,1030,483,578,88,0,22,0,95,410,97,221,504,72
2013-01-03 16:00:00,2854,2024,0,0,230,5,0,19,36,0,489,350,1490,665,575,88,0,21,0,101,498,90,222,458,68
2013-01-03 17:00:00,2708,2273,0,0,775,6,0,15,0,0,363,385,1287,669,515,99,0,0,0,91,506,57,183,170,64
2013-01-03 18:00:00,1974,1366,0,0,420,5,0,13,0,0,346,393,949,637,33,100,0,0,0,49,357,15,0,0,65
2013-01-03 19:00:00,1831,1290,0,0,407,6,0,13,0,0,287,392,927,559,34,99,0,0,0,48,317,15,0,0,65
2013-01-03 20:00:00,2044,1391,0,0,676,6,0,13,0,0,314,407,1002,516,34,31,0,0,0,50,334,17,0,0,65
2013-01-03 21:00:00,1679,1261,0,0,385,6,0,14,0,0,241,398,845,525,34,0,0,0,0,49,317,17,0,0,63
2013-01-03 22:00:00,1834,1281,0,0,335,5,0,13,0,0,304,434,961,528,34,0,0,0,0,49,327,18,0,0,63
2013-01-03 23:00:00,1696,1293,0,0,330,6,0,14,0,0,273,482,857,509,34,0,0,0,0,52,308,16,0,0,61
2013-01-04 00:00:00,1806,1328,0,0,339,5,0,13,0,0,284,485,985,535,35,0,0,0,0,52,315,16,0,0,60
2013-01-04 01:00:00,1745,1342,0,0,463,2,0,13,0,0,265,466,864,522,35,0,0,0,0,50,308,20,0,0,60
2013-01-04 02:00:00,1842,1265,0,0,471,1,0,13,0,0,270,393,916,496,35,0,0,0,0,49,324,20,0,0,60
2013-01-04 03:00:00,1681,1192,0,0,320,1,0,14,0,0,280,393,858,492,36,0,0,0,0,48,301,20,0,0,60
2013-01-04 04:00:00,1542,1089,0,0,24,1,0,14,0,0,231,393,913,532,36,0,0,0,0,48,309,21,0,0
2013-01-04 05:00:00,2016,1274,0,0,421,1,0,14,0,0,319,387,1154,540,36,0,0,0,0,49,299,21,0,0,58
2013-01-04 06:00:00,1861,1262,0,0,342,3,0,13,0,0,289,465,961,500,35,0,0,0,0,49,389,20,0,0,58
2013-01-04 07:00:00,1672,1482,0,0,306,6,0,14,0,0,246,486,825,750,34,0,0,0,0,49,370,19,0,0,58
2013-01-04 08:00:00,1743,1251,0,0,374,6,0,13,0,0,274,449,945,529,32,0,0,0,0,48,287,18,0,0,58
2013-01-04 09:00:00,1885,1671,0,0,894,6,0,14,0,0,225,347,770,507,241,0,0,0,0,46,278,19,0,124,58
2013-01-04 10:00:00,2146,1990,0,0,22,163,156,32,0,13,372,322,954,499,661,1,0,0,0,71,258,75,216,486,59
2013-01-04 11:00:00,2155,1983,0,0,23,54,47,33,39,0,426,403,978,533,652,3,0,16,0,75,278,75,220,463,60
2013-01-04 12:00:00,1958,1988,0,0,23,6,0,65,0,17,289,487,972,497,650,3,0,3,0,81,292,86,221,435,62
2013-01-04 13:00:00,1878,1910,0,0,22,6,0,20,0,3,291,313,985,573,648,3,0,31,0,68,244,90,222,389,63
2013-01-04 14:00:00,2270,2121,0,0,22,190,183,18,0,2,345,390,1181,516,646,3,0,10,0,65,281,84,223,362,64
2013-01-04 15:00:00,2547,2298,0,0,23,272,264,46,0,22,448,531,1197,553,643,4,0,19,0,66,372,77,225,338,65
2013-01-04 16:00:00,2595,2162,0,0,21,228,220,16,41,1,331,391,1318,580,639,7,0,31,0,89,456,76,223,340,63
2013-01-04 17:00:00,2525,2026,0,0,21,5,0,17,39,0,422,481,1430,557,636,7,0,20,0,89,393,83,224,359,62
2013-01-04 18:00:00,1876,1530,0,0,19,6,0,16,0,0,326,398,1124,522,275,2,0,0,0,62,245,39,98,181,61
2013-01-04 19:00:00,1619,1136,0,0,18,6,0,13,0,0,291,380,976,593,33,1,0,0,0,51,277,19,0,0,61
2013-01-04 20:00:00,1846,1387,0,0,352,6,0,13,0,0,301,384,935,662,34,1,0,0,0,51,385,19,0,0,60
2013-01-04 21:00:00,1761,1301,0,0,332,6,0,13,0,0,254,365,995,637,34,1,0,0,0,50,272,20,0,0,60
2013-01-04 22:00:00,1907,1266,0,0,394,6,0,14,0,0,310,409,950,514,35,1,0,0,0,51,407,21,0,0,60
2013-01-04 23:00:00,1634,1324,0,0,352,4,0,14,0,0,273,499,862,532,36,1,0,0,0,50,287,21,0,0,61
2013-01-05 00:00:00,1953,1315,0,0,302,3,0,14,0,0,319,493,1011,558,36,2,0,0,0,50,419,21,0,0,61
2013-01-05 01:00:00,1674,1240,0,0,343,2,0,14,0,0,229,436,880,495,36,1,0,0,0,50,331,22,0,0,61
2013-01-05 02:00:00,1918,1256,0,0,346,1,0,14,0,0,326,382,988,561,36,1,0,0,0,49,388,21,0,0,61
2013-01-05 03:00:00,1964,1246,0,0,330,1,0,14,0,0,258,399,1128,540,36,1,0,0,0,49,396,22,0,0,61
2013-01-05 04:00:00,1819,1211,0,0,344,2,0,14,0,0,280,387,989,499,36,1,0,0,0,49,339,21,0,0,61
2013-01-05 05:00:00,1776,1156,0,0,24,2,0,14,0,0,277,485,955,531,34,1,0,0,0,49,457,22,0,0,61
2013-01-05 06:00:00,1683,1310,0,0,314,3,0,13,0,0,376,511,810,539,34,1,0,0,0,50,277,22,0,0,61
2013-01-05 07:00:00,1712,1172,0,0,305,5,0,13,0,0,200,412,890,486,33,1,0,0,0,50,420,21,0,0,60
2013-01-05 08:00:00,1865,1826,0,0,749,6,0,13,0,0,296,332,864,500,191,1,0,345,0,50,262,37,0,0,60
2013-01-05 09:00:00,2719,3589,0,0,736,676,663,26,0,0,329,350,810,496,565,2,0,1007,2,78,382,81,63,153,60
2013-01-05 10:00:00,2683,2813,0,0,23,588,577,30,0,15,329,466,1188,695,546,4,0,238,0,70,274,93,219,472,61
