,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-01-27,120.798,-17.450,0.000,19.932,0.750,0.617,0.109,5.350,9.942,15.308,22.847,14.583,6.295,3.341,1.411,1.071,0.000,1.527,0.001,22.675,0.003,1.189,118.75417,61
2015-01-28,117.248,-18.237,0.000,18.517,3.483,1.040,0.219,3.211,10.343,14.423,23.868,14.024,6.575,3.334,2.964,1.075,0.000,1.476,0.000,22.048,0.003,1.056,118.35000,56.8
2015-01-29,125.284,-17.836,0.000,23.430,2.810,1.031,0.220,4.284,10.477,16.165,24.212,14.496,6.598,3.323,2.540,1.535,0.000,1.562,0.000,21.947,0.003,1.087,118.35000,58.5
2015-01-30,127.544,-14.613,0.000,24.603,2.332,0.625,0.193,3.693,9.944,16.702,22.772,14.743,7.501,3.338,2.393,1.099,0.000,1.541,0.000,22.192,0.003,1.427,118.63750,59.9
2015-01-31,115.954,-17.040,0.000,17.834,4.908,0.628,0.107,3.168,9.265,15.396,22.996,14.375,7.875,3.321,0.500,0.514,0.000,1.919,0.000,22.260,0.003,0.977,118.62500,61.4
2015-02-01,105.375,-17.805,0.000,19.639,1.654,0.580,0.111,2.681,9.620,15.759,21.575,13.341,5.110,3.324,0.801,0.237,0.000,1.883,0.000,22.807,0.002,0.587,118.87083,63.7
2015-02-02,130.313,-9.804,0.000,26.689,0.969,0.539,0.189,3.262,10.345,17.615,22.629,15.051,6.644,3.328,1.144,1.194,0.000,1.672,0.000,22.223,0.003,1.016,118.62917,63.6
2015-02-03,112.728,-17.509,0.000,13.849,2.356,0.953,0.142,3.228,10.730,14.129,21.697,13.776,5.884,3.322,1.729,1.324,0.000,1.503,0.000,22.070,0.003,1.075,118.43750,56.7
2015-02-04,127.574,-11.195,0.000,26.406,1.795,0.693,0.186,3.268,10.711,17.521,21.160,15.303,8.430,3.328,1.909,1.252,0.000,2.059,0.000,22.708,0.003,1.083,118.57083,64.9
2015-02-05,134.280,-12.369,0.000,29.618,4.427,0.938,0.412,4.669,11.107,15.751,21.786,14.185,7.942,3.365,3.505,1.245,0.000,1.630,0.000,22.101,0.003,0.869,118.88750,62.4
2015-02-06,135.078,-19.318,0.000,30.179,4.130,0.881,0.190,4.357,10.332,16.195,22.355,15.146,10.200,3.312,4.242,1.579,0.000,2.207,0.000,21.999,0.004,1.441,118.03333,59
2015-02-07,99.415,-18.579,0.000,21.143,1.568,0.673,0.042,1.234,8.183,11.599,20.569,13.907,5.876,3.335,0.000,0.000,0.000,2.119,0.000,21.438,0.002,0.123,118.85833,60.6
2015-02-08,101.797,-18.972,0.002,20.911,3.721,0.587,0.040,2.618,8.753,15.146,20.395,13.447,6.042,3.333,1.015,0.000,0.000,1.880,0.000,22.484,0.002,0.643,118.92917,62.6
2015-02-09,127.996,-2.708,0.000,19.836,3.226,1.230,0.242,3.060,12.189,15.418,23.884,13.578,6.445,3.361,1.376,1.135,0.000,1.689,0.000,22.164,0.003,0.982,119.13750,61.7
